SchemeCode,Date,NAV
101069,2006-12-15,14.97260
101069,2006-12-18,14.97350
101069,2006-12-19,14.60830
101069,2006-12-20,14.55950
101069,2006-12-21,14.59480
101069,2006-12-22,14.71100
101069,2006-12-26,14.85380
101069,2006-12-27,14.98620
101069,2006-12-28,14.94520
101069,2006-12-29,14.98160
101070,2006-04-03,43.32650
101070,2006-04-04,43.61100
101070,2006-04-05,44.13920
101070,2006-04-07,43.91430
101070,2006-04-10,44.06270
101070,2006-04-12,43.41930
101070,2006-04-13,43.00710
101070,2006-04-17,43.65590
101070,2006-04-18,43.90430
101070,2006-04-19,44.13250
101070,2006-04-20,44.34310
101070,2006-04-21,44.40710
101070,2006-04-24,44.44190
101070,2006-04-25,43.73010
101070,2006-04-26,44.38500
101070,2006-04-27,44.18560
101070,2006-04-28,44.68310
101070,2006-05-02,45.62810
101070,2006-05-03,45.69220
101070,2006-05-04,45.59620
101070,2006-05-05,45.78680
101070,2006-05-08,45.88810
101070,2006-05-09,46.07720
101070,2006-05-10,46.28530
101070,2006-05-11,45.90170
101070,2006-05-12,45.56750
101070,2006-05-15,44.22880
101070,2006-05-16,44.33500
101070,2006-05-17,45.03950
101070,2006-05-18,42.69000
101070,2006-05-19,41.46520
101070,2006-05-22,40.45190
101070,2006-05-23,41.39760
101070,2006-05-24,40.94870
101070,2006-05-25,40.98290
101070,2006-05-26,41.47700
101070,2006-05-29,41.48290
101070,2006-05-30,41.67380
101070,2006-05-31,40.77520
101070,2006-06-01,39.72220
101070,2006-06-02,40.24780
101070,2006-06-05,39.75680
101070,2006-06-06,38.85520
101070,2006-06-07,37.87910
101070,2006-06-08,36.60110
101070,2006-06-09,37.84870
101070,2006-06-12,37.05310
101070,2006-06-13,36.03260
101070,2006-06-14,35.90740
101070,2006-06-15,36.98960
101070,2006-06-16,37.73350
101070,2006-06-19,38.16310
101070,2006-06-20,37.95380
101070,2006-06-21,38.48560
101070,2006-06-22,39.09760
101070,2006-06-23,39.24580
101070,2006-06-26,38.26330
101070,2006-06-27,38.44190
101070,2006-06-28,38.33200
101070,2006-06-29,38.35210
101070,2006-06-30,39.57610
101070,2006-07-03,39.72400
101070,2006-07-04,39.50990
101070,2006-07-05,40.13640
101070,2006-07-06,39.81530
101070,2006-07-07,39.06150
101070,2006-07-10,39.36780
101070,2006-07-11,39.32050
101070,2006-07-12,39.81530
101070,2006-07-13,39.87060
101070,2006-07-14,39.53890
101070,2006-07-17,38.54850
101070,2006-07-18,38.33740
101070,2006-07-19,37.60750
101070,2006-07-20,38.39880
101070,2006-07-21,37.78630
101070,2006-07-24,37.84740
101070,2006-07-25,38.26560
101070,2006-07-26,38.83390
101070,2006-07-27,39.04430
101070,2006-07-28,38.90840
101070,2006-07-31,39.05240
101070,2006-08-01,38.94840
101070,2006-08-02,39.19180
101070,2006-08-03,39.23860
101070,2006-08-04,39.04030
101070,2006-08-07,38.89880
101070,2006-08-08,39.36010
101070,2006-08-09,39.88230
101070,2006-08-10,40.03810
101070,2006-08-11,40.30750
101070,2006-08-14,40.62410
101070,2006-08-16,40.96910
101070,2006-08-17,40.94010
101070,2006-08-18,41.04510
101070,2006-08-21,41.27760
101070,2006-08-22,40.99700
101070,2006-08-23,40.68140
101070,2006-08-24,41.10090
101070,2006-08-25,41.16060
101070,2006-08-28,41.46090
101070,2006-08-29,41.50530
101070,2006-08-30,41.59330
101070,2006-08-31,41.71430
101070,2006-09-01,41.83820
101070,2006-09-04,42.11720
101070,2006-09-05,42.09920
101070,2006-09-06,42.32410
101070,2006-09-07,42.15020
101070,2006-09-08,42.37140
101070,2006-09-11,41.29480
101070,2006-09-12,41.46180
101070,2006-09-13,42.03060
101070,2006-09-14,42.14290
101070,2006-09-15,42.26340
101070,2006-09-18,42.78790
101070,2006-09-19,42.35180
101070,2006-09-20,42.72950
101070,2006-09-21,43.25360
101070,2006-09-22,43.11710
101070,2006-09-25,42.90520
101070,2006-09-26,43.24170
101070,2006-09-27,43.34430
101070,2006-09-28,43.12310
101070,2006-09-29,43.42700
101070,2006-10-03,43.34250
101070,2006-10-04,42.89390
101070,2006-10-05,43.44870
101070,2006-10-06,43.69120
101070,2006-10-09,43.74020
101070,2006-10-10,43.73220
101070,2006-10-11,43.43360
101070,2006-10-12,43.96530
101070,2006-10-13,44.21630
101070,2006-10-16,44.54720
101070,2006-10-17,44.29910
101070,2006-10-18,44.29550
101070,2006-10-19,43.91240
101070,2006-10-20,43.83110
101070,2006-10-23,43.78330
101070,2006-10-26,43.78380
101070,2006-10-27,44.19680
101070,2006-10-30,44.60200
101070,2006-10-31,44.64810
101070,2006-11-01,45.01480
101070,2006-11-02,45.18200
101070,2006-11-03,45.30920
101070,2006-11-06,45.49600
101070,2006-11-07,45.26710
101070,2006-11-08,44.92010
101070,2006-11-09,45.01330
101070,2006-11-10,45.32880
101070,2006-11-13,45.52370
101070,2006-11-14,45.53820
101070,2006-11-15,45.39450
101070,2006-11-16,45.37940
101070,2006-11-17,45.17460
101070,2006-11-20,44.86000
101070,2006-11-21,46.00720
101070,2006-11-22,46.18480
101070,2006-11-23,46.09940
101070,2006-11-24,46.28850
