Date,NAV
2016-05-23,11.73080
2016-05-24,11.73390
2016-05-25,11.73570
2016-05-26,11.73840
2016-05-27,11.74050
2016-05-30,11.74720
2016-05-31,11.74890
2016-06-01,11.75180
2016-06-02,11.75370
2016-06-03,11.75580
2016-06-06,11.76450
2016-06-07,11.76630
2016-06-08,11.76870
2016-06-09,11.77210
2016-06-10,11.77480
2016-06-13,11.78200
2016-06-14,11.78390
2016-06-15,11.78650
2016-06-16,11.78920
2016-06-17,11.79130
2016-06-20,11.79870
2016-06-21,11.80300
2016-06-22,11.80560
2016-06-23,11.80960
2016-06-24,11.81190
2016-06-27,11.82040
2016-06-28,11.82310
2016-06-29,11.82500
2016-06-30,11.82910
2016-07-01,11.83130
2016-07-04,11.84150
2016-07-05,11.84720
2016-07-07,11.85320
2016-07-08,11.85500
2016-07-11,11.86530
2016-07-12,11.87070
2016-07-13,11.87570
2016-07-14,11.88070
2016-07-15,11.88370
2016-07-18,11.89310
2016-07-19,11.89810
2016-07-20,11.90040
2016-07-21,11.90280
2016-07-22,11.90560
2016-07-25,11.91240
2016-07-26,11.91940
2016-07-27,11.92200
2016-07-28,11.92490
2016-07-29,11.92740
2016-08-01,11.93450
2016-08-02,11.93700
2016-08-03,11.93920
2016-08-04,11.94130
2016-08-05,11.94450
2016-08-08,11.95080
2016-08-09,11.95460
2016-08-10,11.95710
2016-08-11,11.96440
2016-08-12,11.96730
2016-08-16,11.97590
2016-08-18,11.98010
2016-08-19,11.98440
2016-08-22,11.99130
2016-08-23,11.99210
2016-08-24,11.99300
2016-08-25,11.99460
2016-08-26,11.99700
2016-08-29,12.00480
2016-08-30,12.00670
2016-08-31,12.00910
2016-09-01,12.01250
2016-09-02,12.01580
2016-09-06,12.02520
2016-09-07,12.02950
2016-09-08,12.03280
2016-09-09,12.03520
2016-09-12,12.04190
2016-09-14,12.04720
2016-09-15,12.04920
2016-09-16,12.05180
2016-09-19,12.05920
2016-09-20,12.06300
2016-09-21,12.06480
2016-09-22,12.06740
2016-09-23,12.07050
2016-09-26,12.07990
2016-09-27,12.08430
2016-09-28,12.08870
2016-09-29,12.09070
2016-09-30,12.09550
2016-10-03,12.10600
2016-10-04,12.10980
2016-10-05,12.11880
2016-10-06,12.12440
2016-10-07,12.12690
2016-10-10,12.13310
2016-10-13,12.13920
2016-10-14,12.14060
2016-10-17,12.14500
2016-10-18,12.14660
2016-10-19,12.14610
2016-10-20,12.14860
2016-10-21,12.15050
2016-10-24,12.15750
2016-10-25,12.15830
2016-10-26,12.15990
2016-10-27,12.16170
2016-10-28,12.16390
2016-11-01,12.17320
2016-11-02,12.17600
2016-11-03,12.17700
2016-11-04,12.17940
2016-11-07,12.18640
2016-11-08,12.18880
2016-11-09,12.19610
2016-11-10,12.20000
2016-11-11,12.20400
2016-11-15,12.22080
2016-11-16,12.22860
2016-11-17,12.23210
2016-11-18,12.23660
2016-11-21,12.24590
2016-11-22,12.25180
2016-11-23,12.25610
2016-11-24,12.26290
2016-11-25,12.26480
2016-11-28,12.26530
2016-11-29,12.26710
2016-11-30,12.27060
2016-12-01,12.27250
2016-12-02,12.27330
2016-12-05,12.28040
2016-12-06,12.28290
2016-12-07,12.27490
2016-12-08,12.27470
2016-12-09,12.27920
2016-12-13,12.28960
2016-12-14,12.29240
2016-12-15,12.29460
2016-12-16,12.29410
2016-12-19,12.30110
